Year,Aircraft,Air defence systems,Armoured vehicles,Artillery,Engines,Missiles,Naval weapons,Other,Satellites,Sensors,Ships,Total
1950,5301,,1024,337,481,,1,,,25,914,8083
1951,6723,,993,556,773,,12,,,4,2460,11520
1952,11666,42,2419,674,818,,,,,74,859,16552
1953,15567,42,3980,740,1155,,133,,,261,1647,23525
1954,12853,56,2881,572,1024,,40,,,420,2197,20043
1955,12598,197,2349,810,1085,57,129,,,439,2821,20485
1956,14073,358,4053,946,1460,55,148,,,428,3033,24554
1957,13705,480,3890,740,1337,49,181,,,376,3325,24083
1958,15960,605,3187,700,1168,704,103,,,372,2706,25505
1959,10357,1300,3211,659,918,1105,140,,,267,3415,21373
1960,7451,1523,3339,577,457,768,169,,,441,3009,17734
1961,7487,1229,3027,706,303,870,114,,,554,2044,16334
1962,7995,1335,3180,605,315,1183,74,1,,701,2148,17537
1963,11196,1345,3180,566,418,1319,108,1,,776,1383,20291
1964,14630,2217,3309,585,401,1633,302,1,,983,2422,26483
1965,12968,2264,3895,713,322,1633,157,1,,954,2166,25073
1966,11869,1868,3459,1210,466,1575,82,1,,1072,3445,25047
1967,12328,1383,3799,993,451,1400,87,1,,1023,4051,25515
1968,12628,1344,4005,1232,486,2066,112,1,,747,3408,26028
1969,14243,2031,4751,954,443,2051,69,1,,839,3192,28574
1970,11891,2032,5255,921,508,1357,46,,,589,2791,25388
1971,17043,2893,5597,1007,786,1496,22,,,521,3226,32591
1972,17128,2915,5995,912,1046,2152,132,20,,594,3379,34274
1973,17109,3716,6161,967,792,2692,86,6,,355,4117,35999
1974,18474,3166,6741,789,774,2842,96,6,,350,3575,36812
1975,19287,3531,5190,957,820,2923,132,6,,708,3769,37324
1976,17229,4497,4360,889,731,2969,114,,,936,3746,35471
1977,17011,6405,6895,754,694,3330,130,,,729,4003,39953
1978,17977,6279,8030,618,770,3787,189,24,,799,3999,42469
1979,17512,4502,6450,502,694,3317,148,109,,995,3804,38033
1980,19696,4125,5235,717,708,3858,202,89,,1335,5734,41698
1981,20982,3420,6582,1065,799,4335,244,56,,1606,6311,45400
1982,21282,3350,7146,1281,811,4572,265,25,,1528,5397,45656
1983,20351,2834,7049,1554,741,4015,354,69,,1899,5182,44049
1984,18316,2405,7266,1468,674,3889,242,87,,1940,5429,41717
1985,17583,3071,5781,1557,620,4371,180,38,,1589,3394,38184
1986,18057,2325,5956,1012,668,4738,224,57,,1315,4743,39095
1987,18009,3206,5507,1137,542,4959,289,32,,1474,4281,39435
1988,15658,3040,4667,1159,686,4816,353,22,,1743,4527,36671
1989,17370,2772,3608,864,798,4478,420,48,,1619,3304,35280
1990,15379,1550,3423,543,696,4211,242,59,,1425,2896,30424
1991,12877,1377,3702,856,637,3789,334,155,,1482,3026,28235
1992,11959,548,3314,787,558,2219,210,146,,1311,3023,24073
1993,10487,895,5311,370,630,3280,236,100,,1255,3161,25727
1994,7392,686,3991,632,607,2846,221,130,,1338,5075,22916
1995,9195,621,3682,468,612,2821,193,187,,1281,3795,22855
1996,8698,724,3777,558,645,2914,293,255,,1174,4666,23705
1997,14238,754,3556,605,545,2792,164,228,,980,4953,28815
1998,14537,773,2736,420,510,3851,229,155,,1155,3346,27712
1999,11280,951,2977,345,565,2982,140,315,,1015,4528,25097
2000,8280,826,2066,333,542,2499,159,321,,939,3338,19303
2001,9301,701,1735,137,525,2047,77,185,,1127,2854,18689
2002,8119,703,2066,197,531,2276,158,137,,1133,2362,17681
2003,9133,510,2057,180,647,1973,265,196,,1118,2884,18963
2004,10562,516,2038,424,835,2275,330,199,,1244,2757,21181
2005,8111,871,2049,460,720,2383,262,124,50,1214,5050,21294
2006,9473,935,3112,497,609,3025,230,146,,1385,4963,24377
2007,11666,925,3723,593,749,2948,175,199,,1455,4089,26522
2008,9557,1546,3288,556,950,3198,214,237,,1288,3290,24123
2009,9931,1466,3437,589,911,3011,114,234,,1108,3562,24365
2010,11899,1301,3887,755,1053,2696,162,328,,1214,2427,25724
2011,15311,1285,3539,698,1071,2979,127,283,,1469,3138,29901
2012,11703,1143,3634,613,1286,3315,218,296,,1597,4005,27809
2013,10635,1608,2812,438,1398,4018,207,236,,1781,4116,27247
2014,11470,1255,2951,267,1413,3188,287,163,100,1677,4425,27195
2015,12846,1902,2706,300,1515,3143,182,200,,1772,3917,28484
2016,12394,2410,3880,282,1544,4237,161,119,100,1628,4458,31213
2017,14028,1741,3148,184,1366,4303,175,142,100,1123,5129,31438
2018,11907,1662,3026,352,1736,4223,233,124,50,1068,3425,27807
2019,14031,988,2807,383,1944,3663,155,445,50,1124,2017,27607
2020,11412,566,2564,444,1678,2971,153,311,50,785,3067,24000
2021,13480,704,2651,295,1646,2806,180,249,10,940,3831,26792
2022,14851,1394,3299,650,1490,4565,257,232,10,1372,3863,31983
