Year,Albania,Algeria,Angola,Argentina,Armenia,Aruba,Australia,Austria,Bahamas,Bahrain,Bangladesh,Belarus,Belgium,Bosnia-Herzegovina,Brazil,Brunei,Bulgaria,Cambodia,Canada,Chad,Chile,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Czechoslovakia,Denmark,Dominican Republic,DR Congo,East Germany (GDR),Ecuador,Egypt,Eritrea,Estonia,Ethiopia,European Union**,Fiji,Finland,FMLN (El Salvador)*,France,Gabon,Georgia,Germany,Ghana,Greece,Guatemala,Guyana,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Latvia,Lebanon,Libya,Libya HoR*,Lithuania,Luxembourg,Malawi,Malaysia,Malta,Mexico,Moldova,Montenegro,Morocco,Mozambique,Mujahedin (Afghanistan)*,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,North Yemen,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Seychelles,Singapore,Slovakia,Slovenia,South Africa,South Korea,South Vietnam,South Yemen,Soviet Union,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Syria,Taiwan,Thailand,Turkiye,UAE,Uganda,Ukraine,United Kingdom,United Nations**,United States,unknown supplier(s),Uruguay,Uzbekistan,Venezuela,Viet Nam,Yugoslavia,Zambia,Zimbabwe,Total
1950,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,17,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3974,,,,27,,,,,,,,,2285,,1388,23,,,,,,,,8083
1951,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,15,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,3602,,,,46,,,,,,,,,3468,,4057,12,,,,,,,,11520
1952,,,,,,,36,,,,,,,,,,,,268,,,,,,,,,,,15,,,,,,,,,,,,,,43,,,,,,,,,,,,1,,,,24,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5883,,,,64,,,,,,,,,3253,,6944,,,,,,,,,16552
1953,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,9,,,,,,,,,,,,,,263,,,38,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,,,7,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,8534,,,,165,,,,,,,,,4607,,9814,,,,,,,,,23525
1954,,,,,,,,,,,,,,,,,,,210,,,3,,,,,,,,188,,,,,,,,,,,,25,,279,,,29,,,,,,,,,,,,8,11,2,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8625,,,,21,,,,,,,,,4473,,6099,,,,,,,,,20043
1955,,,,,,,125,,,,,,,,,,,,190,,,,,,,,,,,1331,,,,,,,,,,,,,,413,,,24,,,1,,,,,,,,,30,140,110,,,,,,,,,,,,,,,,,,,,,255,,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,5762,,,,105,,,,,,,,,4808,,7190,2,,,,,,,,20485
1956,,,,,,,,,,,,,29,,,,,,294,,,39,,,,,,,,1871,,,,,,9,,,,,,,,930,,,24,,,,,,,,,,,,,263,38,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6334,,,,96,,,,,0,,,,6012,,8573,17,,,,,17,,,24554
1957,,,,,,,,,,,,,,,,,,,336,,,30,,,,,2,,,2191,,,,,,22,,,,,,,,661,,,44,,,,,5,,,,,0,,4,284,112,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6645,,,,111,,,,,,,,,5026,,8587,17,,,,,,,,24083
1958,,,,,,,,,,,,,,,,,,,544,,,483,,,,,6,,,1530,,,,,,4,,,,,,,,789,,,25,,,,,,,,,,,,,239,3,,,,,,,,,,,,,,,,,,,,,51,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7946,,,,280,,,,,,,,,3950,,9564,17,,,,,71,,,25505
1959,,,,,,,,,,,,,,,,,,,119,,,403,,,,,,,,940,,,,,,4,,,,,,75,,799,,,93,,,,,,,1,,,,,23,8,41,2,,,,,,,,,,,,,,,,,,,,43,,,,,,,,8,,,,,,,,,,,,,,,,,,8,,,,7846,,,,15,49,,,,,,,,3442,,7437,17,,,,,,,,21373
