Year,Afghanistan,African Union**,Albania,Algeria,Amal (Lebanon)*,ANC (South Africa)*,Angola,Anti-Castro rebels (Cuba)*,Antigua and Barbuda,Argentina,Armas (Guatemala)*,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Biafra,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Contras (Nicaragua)*,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Czechoslovakia,Darfur rebels (Sudan)*,Denmark,Djibouti,Dominican Republic,DR Congo,East Germany (GDR),Ecuador,Egypt,ELF (Ethiopia)*,El Salvador,EPLF (Ethiopia)*,Equatorial Guinea,Eritrea,Estonia,eSwatini,Ethiopia,FAN (Chad)*,Fiji,Finland,FMLN (El Salvador)*,FNLA (Angola)*,France,FRELIMO (Portugal)*,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,GUNT (Chad)*,Guyana,Haiti,Haiti rebels*,Hamas (Palestine)*,Hezbollah (Lebanon)*,Honduras,Houthi rebels (Yemen)*,Hungary,Iceland,India,Indonesia,Indonesia rebels*,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Katanga,Kazakhstan,Kenya,Khmer Rouge (Cambodia)*,Kiribati,Kosovo,Kurdistan Regional Government (Iraq)*,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lebanon Palestinian rebels*,Lesotho,LF (Lebanon)*,Liberia,Libya,Libya GNC,Libya HoR*,Lithuania,LRA (Uganda)*,LTTE (Sri Lanka)*,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,MNLF (Philippines)*,Moldova,Mongolia,Montenegro,Morocco,Mozambique,MPLA (Portugal)*,MTA (Myanmar)*,Mujahedin (Afghanistan)*,Myanmar,Namibia,NATO**,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,NLA (Macedonia)*,Northern Alliance (Afghanistan)*,Northern Cyprus,North Korea,North Macedonia,North Yemen,Norway,NTC (Libya)*,Oman,OSCE**,PAIGC (Portugal)*,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Pathet Lao (Laos)*,Peru,Philippines,PIJ (Israel/Palestine)*,PKK (Turkiye)*,PLO (Israel)*,Poland,Portugal,PRC (Israel/Palestine)*,Provisional IRA (UK)*,Qatar,Regional Security System**,Romania,RPF (Rwanda)*,RUF (Sierra Leone)*,Russia,Rwanda,Saint Kitts and Nevis,Saint Vincent,Samoa,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,SLA (Lebanon)*,Slovakia,Slovenia,SNA (Somalia)*,Solomon Islands,Somalia,South Africa,Southern rebels (Yemen)*,South Korea,South Sudan,South Vietnam,South Yemen,Soviet Union,Spain,SPLA (Sudan)*,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Syria rebels*,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Tuvalu,UAE,Uganda,UIC (Somalia)*,Ukraine,Ukraine Rebels*,UNITA (Angola)*,United Kingdom,United Nations**,United States,United Wa State (Myanmar)*,unknown rebel group*,unknown recipient(s),Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Cong (South Vietnam)*,Viet Minh (France)*,Viet Nam,Western Sahara,Yemen,Yemen Arab Republic (North Yemen),Yugoslavia,Zambia,ZAPU (Zimbabwe)*,Zimbabwe,Total
1950,,,20,,,,,,,85,,,468,,,,,,,,198,,,,,,,,,,156,,,,,,264,,,1,2572,3,,,,,,,,,,90,,96,,2,,26,,152,,0,,,,,,2,,,,,,180,,,,,,,97,,,,,,,4,,,,,,56,,141,195,,4,,2,53,149,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,154,41,,,,,,,861,,0,113,,,,,194,,,,,5,,2,,,,,190,19,,,,,4,,,,,,,,0,,,,,,,,,,,,37,,155,,,,36,1,,0,,,225,154,107,,,,,62,,,,,,117,,,,,,,,,101,,352,,,,68,,,63,,,,,,,,,,1,8083
1951,,,10,,,,,,,445,,,371,,,,,,,,485,,,,,6,,,615,,68,,,,,,294,,,247,2197,8,,,,,,,8,,,247,,72,,11,,,,46,,,,,,,,19,,,,,,997,,,,,,,500,,6,,,,,,,,,1,,53,,277,58,,6,,,97,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,5,,,,,,,0,,,,454,72,,,,,,,372,,,127,,,,,169,,,,,,,24,2,,,,575,21,,,,,76,,,,,,,,,,,,,,,,,,,,73,,256,,,,,,,,,,297,151,1,,98,,,91,,,,,,136,,,,,,,,,246,,695,,,,3,,,,,,,,,,182,,,11,11520
1952,,,11,,,,,,,38,,,410,,,,,,,,972,,,,,,,,,,102,,,,,,998,,,26,3430,15,,,,,,,12,,,707,,361,,43,,181,,0,,,,,,,,,,,19,,,1180,,,,,,,307,,,,,,,3,,,,2,,13,,104,14,,0,59,,73,897,,8,7,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,,,,,28,,,,,,,0,,,,423,148,,,,,,,211,,4,426,,,,,145,,,,,1,,85,1,,,,794,120,,,,,407,,,,,,,,7,,,,,,,,,,,,183,,266,,,,,,,0,,,316,321,20,,304,,,45,,,,,,337,,,,,,,,,535,,875,,,,39,,,25,,,,,,,490,,,2,16552
1953,,,20,,,,,,,4,,,153,2,,,,,,,1098,,,,,,,,133,,349,,,,,,1884,,,10,3144,12,,,,,,,13,,,1607,,648,,21,,102,10,1,,,,,,,,6,,,,,,1686,,,,,,,85,,,,,,,,,,,,,802,,430,6,,1,53,4,70,1309,,223,0,,,,,,,,0,,,,9,,,,,,,,,,,0,,,,,,,,,,6,,,,5,,,,,,,16,,,,975,13,3,,,,,,674,,,421,,,,,95,,,,,1,,17,32,,,,1021,284,,,,,809,,,,,,,,1,,,,,,,,,,,,53,,263,,0,,8,68,,17,,,431,169,18,,383,,,25,,,,,,171,,,,,,,,,1610,,1315,,,,3,,,195,,,,,,,525,,,8,23525
1954,,,22,,,,,,,5,8,,125,,,,,,,,604,,,,,2,,,112,,650,,,,4,,1123,,,40,3500,31,,,,,,,20,,,1008,,165,,2,,10,14,133,,1,,,,,,8,,,,,,1690,,,,,,,152,,2,,,,,,,,,1,,699,,265,16,,11,19,,2,308,,280,27,,,,,,,,5,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,39,,,,784,,15,,,,,,263,,,19,,,,,145,,,,,,,111,22,,,,1999,373,,,,,605,,,,,,,,2,,,,,,,,,,,,49,,158,,45,,70,88,,,,,319,142,9,,320,,,77,,,,,,172,,,,,,,,,537,,1896,,,,1,,,135,,3,10,,,,534,,,36,20043
1955,4,,132,,,,,,,0,,,637,11,,,,,,,361,,,,,,,,379,,365,,,,18,,1267,,,5,1730,13,,,,3,,,3,,,1062,,172,,6,,10,124,755,,1,,,,,,1,,,11,,,1624,,,,,85,,203,,8,,,,,,,,,,,222,,350,25,,30,61,,111,587,,412,34,,,,,,,,1,,2,,17,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,47,,,,719,38,27,,,,,,404,,1,168,,,,,195,,,,,0,,35,28,,,,1098,165,,,,,454,,,,,,,,16,,,,,,,,,,,,105,,351,,87,,945,197,,8,,,447,230,90,,622,,,49,,,,,,445,,,,,,,,,322,,1892,,,,2,,,64,,,19,,,,334,,,27,20485
1956,7,,98,,,,,,,39,,,451,98,,,,,,,682,,,,,,,,55,,305,,,,36,,685,,,90,2255,38,,,,0,,,35,,,573,,159,,7,,636,6,1160,,,,,,,,1,,,15,,,1567,,,,,1356,,92,,6,,,,,6,,,,9,,1,,366,42,,41,105,8,735,983,,763,62,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,28,,,,,30,,,,1171,148,1,,,,,,479,,,282,,,,,158,,,,,,,175,39,,,,687,90,,,,,448,,,,,,,,10,,,,,6,,,,,,,270,,461,,121,,1538,264,,1,,,541,313,135,,256,,,10,,,,,,300,,,,,,,,,141,,2071,,,,22,,,406,,,9,,,,352,,,8,24554
1957,89,,42,,,,,,,14,,,445,146,,,,,,,680,,,,,,,,152,,514,,,,10,,728,,,28,2126,15,,,,,,,11,,,203,,157,,1,,1079,,996,,17,,,,,,16,,,3,,,759,,,,,2270,,354,,,,,,,1,,,,1,,59,,980,30,,36,38,,133,763,,1059,,,,,,,,,,,1,,40,,,,,3,,,,,,,,,,,,,,,,,,,,12,,12,,,,,53,,26,,703,90,4,,,,,,428,,40,142,,,,,529,,,,,,,117,42,,,,1080,153,,,,,186,,,,,,,,72,,,,,,,,,,,,173,,290,,28,,1500,287,,2,2,,253,223,463,,436,,,88,,,,,11,608,,,,,,,,,93,,1371,,,,12,,,275,,,54,,,,229,,,,24083
1958,254,,47,,,,,,,70,,,534,11,,,,,,,897,,,,,26,,,139,,599,,,,4,,220,,,32,2778,298,,,,,,,23,,,562,,114,,17,,932,13,391,,,,,,,,23,,,25,,,1134,,,,,2817,,475,,,,,,,,,,,12,,259,,954,687,6,160,186,1,143,407,,1199,44,,,,,,,,2,,10,,74,,,,,,,,,,,,,,13,,,,,,,16,,,,12,,10,,,,,61,,26,,467,58,6,,,,,,827,,8,144,,,,,353,,,,,,,30,37,,,,1048,99,,,,,106,,,,,,,,37,,,,,,,,,,,,169,,264,,20,,1500,136,,20,5,,170,232,112,,739,,,15,,,,,,602,,,,,,,,,554,,701,,,,9,,,120,,,26,,,,112,,,61,25505
1959,405,,129,,,,,,,161,,,412,24,,,,,,,179,,,,,3,,,129,,165,,,,2,,308,,,20,3159,1,,,,,,,10,,,840,,203,,4,,581,,263,,,,,,,,6,,,41,,,815,,,,,1544,1,314,,5,18,,,,,,,,1,,331,,855,574,,109,170,,223,424,,668,4,,,,,,,,,,2,,11,,,,1,1,,,,,,,,,18,,,,,,,2,,,,,,13,,,,,29,,26,,146,,,,5,,,,579,,,110,,1,,,323,,,,,,,175,64,,,,994,48,,,,,97,,,,,,,,8,,,,,,,,,,,,68,,252,,20,,975,294,,31,4,,257,289,22,,921,,,10,,,,,13,916,,,,,,,,,543,,645,,,10,,,,9,,,59,,,,284,,,,21373
1960,40,,57,,,,,,,111,,,113,16,,,,,,,92,,,,,6,,,236,,474,,,,1,,171,,1,304,2431,5,,1,,,,,153,,,534,,139,,19,2,397,66,143,,,,,,,,24,,,54,,,526,,,,,2054,12,264,,16,33,,,,6,,,,,,599,20,544,441,,84,168,1,163,409,,809,30,1,,,,,,,44,,3,,,,,,,14,,,,,,,,,5,,,,,2,,21,,,,10,,22,,,,,6,,26,,302,119,2,1,,,,,405,,,145,,1,,,42,,,,,9,11,191,51,,,,853,31,,,,,113,,,,,,,,17,0,,,,,,,,,,10,13,,195,,43,,692,214,,4,9,,232,219,21,,472,,,28,,1,,,44,593,,,,,,,,,26,16,221,,,10,17,,,64,,,103,,,,259,,,15,17734
1961,56,,74,7,,,,2,,205,,,40,27,,,,,,,132,,2,,,4,,,212,,523,1,,,2,0,1576,2,1,38,936,62,,1,,,3,,523,,,667,,335,,11,9,200,,544,,,,,,,,4,,,65,,,321,,3,,,2039,107,82,,,0,,,,,,,,,,575,,1122,752,,107,118,,87,427,,338,15,8,,,,,,,,,4,,3,,,,,17,,,,,,,3,,2,,3,,,1,,30,,,,66,,37,,,,,17,,22,,317,111,8,1,1,,,,69,,23,93,,,,,69,,,,,,11,96,45,,,,849,157,,,,,27,,,,,,,,12,8,,,,,,,,,,2,,,180,,111,,175,103,,,15,,159,37,12,,108,,,52,,,,,6,312,,,,,,,,,34,0,238,,,18,0,,,32,,,95,,,,175,,,,16334
1962,64,,42,61,,,,,,48,,,571,56,,,,,,,188,,1,,,2,,,62,,494,,,,5,,1219,,,19,307,3,,,,,1,,1320,,,547,,58,,0,13,764,,686,,,,,,,,21,,,38,,,122,,,,,2478,20,330,,1,,,,,,,,,14,,292,,371,995,,127,278,,271,881,1,221,55,,,,,,,,10,,19,,13,,,,,2,,,,,,,,,31,,10,,,1,,109,,,,90,,93,,,,,14,,5,,378,8,6,,8,,,,181,,,60,,,,,88,,,,,11,15,14,11,,,,688,28,,,,,181,,,,11,,,,22,,,,,,,,,,,0,232,,132,,165,,174,55,,,19,,134,4,20,,146,,,108,,,,,,266,,,,,,,,,38,1,264,,,38,100,,,32,,,47,,,,397,,,16,17537
1963,40,,12,85,,,,,,19,,,378,201,,,,,,,573,,,,,4,,,128,,538,,,,11,2,1009,,,127,450,29,,0,,1,1,,283,,,585,,134,,7,32,762,3,737,,0,,,,,,27,,,237,,,162,,,,,3297,6,98,,7,0,,,,,,,,,,376,,647,180,,137,201,2,407,1212,1,204,39,,,,,,,,34,,15,,18,,,,,3,,,,,,,1,,75,,4,,,6,,60,,,,86,,14,,,,,27,,,,719,5,8,,9,,,,197,,1,227,,1,,,181,,,,,0,,24,4,,,,1001,41,,,,,227,,,,,,,,,0,,,,,,,,,,11,518,,218,,131,,237,14,,,8,,324,52,74,,320,,,108,,,,,7,582,,,,,,,,,139,,323,,,67,0,,,34,,,107,,,,624,,,20,20291
1964,56,,8,177,,,,,,19,,,537,73,,,,,,,648,,2,,,2,,,25,,326,1,,,41,0,740,,,34,395,9,,,,,,,247,18,,579,,482,,5,83,1026,3,843,,,,,,,,4,,,77,,,1300,,3,,,3723,40,631,,8,0,,,,1,,,,,,747,,920,552,,141,321,12,417,1133,0,1718,33,,,6,,,,,46,,7,,,,,,2,15,,,,,,,0,5,97,,,,,1,,38,,,,120,,16,,,,,18,,,,910,,0,1,2,,,,168,,,260,,1,,,85,,,0,,8,,18,2,,,,1564,45,,,,,418,,,,0,,,,5,4,,,,,,,,,,,301,,283,,80,,463,51,,0,36,,403,263,50,,347,,4,93,,0,,,4,835,,,,3,,,,,118,,326,,,76,2,,,2,,,248,,,,463,7,,,26483
1965,91,,140,350,,,,,,7,,,920,78,,,,,,,512,,,,,2,,,150,5,372,0,,,43,2,563,1,0,57,212,18,,0,,,,,130,22,,698,,449,,10,31,923,29,950,,1,,,,,,14,,,81,,,378,,0,,,3323,40,488,,5,17,,,,,,,,1,,667,,1049,296,,171,248,,437,727,,1154,55,,,15,,,,,25,,7,,34,,,,,9,,,,,,,7,,10,,,,,1,,11,,,,137,,82,,,,,19,,,2,745,10,0,1,56,,,,117,,,368,,1,,,214,,,,,1,,52,102,,,,1154,63,,,,,518,,,,0,,,,48,0,,,,1,,,,,,30,386,,631,,143,,485,382,,,5,,317,228,77,,478,,4,87,,0,,11,40,412,,,,1,,,,,152,,190,,,76,8,,,,,,639,,,,549,16,,,25073
